dataset_id	project_id	project_title	project_date	protein_count	spectrum_count
DS822_3	JPST000822	in vitro kinase reaction, PKA	2017-06-30	498	5404
DS822_4	JPST000822	in vitro kinase reaction, PKA	2017-06-30	349	2133
DS823_1	JPST000823	in vitro kinase reaction, ERK1	2017-06-30	1229	19220
DS823_2	JPST000823	in vitro kinase reaction, ERK1	2017-06-30	1015	11206
DS823_3	JPST000823	in vitro kinase reaction, ERK1	2017-06-30	261	1785
DS823_4	JPST000823	in vitro kinase reaction, ERK1	2017-06-30	261	1786
DS824_1	JPST000824	in vitro kinase reaction, AKT1	2017-06-30	674	6106
DS824_2	JPST000824	in vitro kinase reaction, AKT1	2017-06-30	639	4913
DS824_3	JPST000824	in vitro kinase reaction, AKT1	2017-06-30	332	2007
DS824_4	JPST000824	in vitro kinase reaction, AKT1	2017-06-30	332	2008
DS825_1	JPST000825	Mouse liver and kidney proteome with antibiotics treatment	2018-01-01	1316	15758
DS825_10	JPST000825	Mouse liver and kidney proteome with antibiotics treatment	2018-01-01	1211	9673
DS825_11	JPST000825	Mouse liver and kidney proteome with antibiotics treatment	2018-01-01	1876	33062
DS825_12	JPST000825	Mouse liver and kidney proteome with antibiotics treatment	2018-01-01	1258	12944
DS825_2	JPST000825	Mouse liver and kidney proteome with antibiotics treatment	2018-01-01	867	5388
DS825_3	JPST000825	Mouse liver and kidney proteome with antibiotics treatment	2018-01-01	826	7841
DS825_4	JPST000825	Mouse liver and kidney proteome with antibiotics treatment	2018-01-01	1280	16106
DS825_5	JPST000825	Mouse liver and kidney proteome with antibiotics treatment	2018-01-01	1708	42048
DS825_6	JPST000825	Mouse liver and kidney proteome with antibiotics treatment	2018-01-01	1503	24557
DS825_7	JPST000825	Mouse liver and kidney proteome with antibiotics treatment	2018-01-01	1253	16267
DS825_8	JPST000825	Mouse liver and kidney proteome with antibiotics treatment	2018-01-01	1928	51890
DS825_9	JPST000825	Mouse liver and kidney proteome with antibiotics treatment	2018-01-01	1793	24746
DS826_1	JPST000826	Zinc-responsive labeling in live cells for novel conditional proteomics	2016-08-24	1607	18566
DS826_2	JPST000826	Zinc-responsive labeling in live cells for novel conditional proteomics	2016-08-24	1275	14512
DS826_3	JPST000826	Zinc-responsive labeling in live cells for novel conditional proteomics	2016-08-24	822	9133
DS868_1	JPST000868	TiO2-enriched phosphopeptides from thymocytes	2016-09-20	114	730
DS868_2	JPST000868	TiO2-enriched phosphopeptides from thymocytes	2016-09-20	180	896
DS868_3	JPST000868	TiO2-enriched phosphopeptides from thymocytes	2016-09-20	208	1134
DS869_1	JPST000869	monolith HILIC-HeLa	2017-06-22	1705	35910
DS870_1	JPST000870	Extended Coverage of Singly and Multiply Phosphorylated Peptides from a Single Titanium Dioxide Microcolumn	2017-06-30	963	10779
DS870_2	JPST000870	Extended Coverage of Singly and Multiply Phosphorylated Peptides from a Single Titanium Dioxide Microcolumn	2017-06-30	729	8654
DS871_1	JPST000871	TCTP interactome analysis by AP-SWATH	2018-11-05	250	3881
